text,label
Đội ngũ bảo trì quá thưa thớt dẫn đến không đảm bảo được chất lượng sửa chữa thiết bị.,Negative
The university's musical and artistic facilities are excellent.,Neutral
Phương pháp giảng dạy phù hợp với các đối tượng sinh viên khác nhau.,Neutral
Chương trình học giúp tôi trở thành một chuyên gia trong lĩnh vực của mình.,Positive
Tôi nghĩ rằng chương trình đào tạo có thể có thêm các môn học về lịch sử và văn hóa để sinh viên hiểu rõ hơn về đất nước và con người Việt Nam,Neutral
Chị ấy luôn tỉ mỉ trong công việc.,Neutral
Hôm nay tôi rất vui,POSITIVE
Món ăn này dở quá,NEGATIVE
Thời tiết bình thường,NEUTRAL
Rat vui hom nay,POSITIVE
Công việc ổn định,NEUTRAL
Phim này hay lắm,POSITIVE
Tôi buồn vì thất bại,NEGATIVE
Ngày mai đi học,NEUTRAL
Cảm ơn bạn rất nhiều,POSITIVE
Mệt mỏi quá hôm nay,NEGATIVE
Tôi không thích giảng viên này vì anh ta không có kỷ luật.,Negative
Giảng viên này quá yêu cầu với sinh viên khiến họ không thể tự do học tập.,Negative
Anh bạn là người luôn tôn trọng ý kiến của người khác và dễ chịu hơn bao giờ hết.,Positive
Thầy này là một người giáo viên rất tuyệt vời.,Positive
Thầy luôn đặt mục tiêu rõ ràng cho học viên nên học viên biết mình phải làm gì để đạt được điểm cao.,Positive
"Các phòng thực hành về kiến trúc và xây dựng rất đầy đủ và chuyên nghiệp, giúp tôi nâng cao kỹ năng thiết kế và xây dựng.",Positive
"Phòng học tập tại trường rất thoáng và có ánh sáng tự nhiên, giúp tôi tập trung và học tập hiệu quả hơn.",Positive
"Cô ấy là một người rất linh hoạt và đa tài, luôn sẵn sàng dẫn đầu nhóm trong các dự án khác nhau.",Positive
Thầy rất kiên nhẫn và sẵn sàng phải giải đáp những thắc mắc của sinh viên nhiều lần.,Positive
Các phòng thí nghiệm tại trường được trang bị đầy đủ và là nơi lý tưởng để học tập và nghiên cứu.,Positive
Thầy giúp đỡ sinh viên trở nên tự tin và khả năng phân tích được đánh giá cao.,Positive
Phòng học quá tối.,Negative
Chương trình học của trường rất đa dạng và bao gồm nhiều ngành học hấp dẫn.,Neutral
Cô ấy rất nhanh nhẹn và dễ mến.,Neutral
